Question,Option 1,Option 2,Option 3,Option 4,Answer
What is the capital of France?,Paris,London,Berlin,Madrid,Paris
Who is the author of "To Kill a Mockingbird"?,Harper Lee,Mark Twain,William Faulkner,Ernest Hemingway,Harper Lee
What is the largest mammal in the world?,Blue whale,Elephant,Rhinoceros,Hippopotamus,Blue whale
What is the tallest mountain in the world?,Mount Everest,Kilimanjaro,K2,Matterhorn,Mount Everest
What is the largest country in the world by area?,Russia,Canada,China,USA,Russia
What is the smallest country in the world by area?,Vatican City,Monaco,San Marino,Andorra,Vatican City
What is the capital of India?,New Delhi,Mumbai,Chennai,Kolkata,New Delhi
Who painted the Mona Lisa?,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Claude Monet,Leonardo da Vinci
What is the name of the largest bone in the human body?,Femur,Humerus,Tibia,Fibula,Femur
What is the name of the currency used in Japan?,Yen,Renminbi,Won,Rupee,Yen
Who wrote the Harry Potter series?,J.K. Rowling,J.R.R. Tolkien,C.S. Lewis,Rick Riordan,J.K. Rowling
What is the name of the phobia that means fear of spiders?,Arachnophobia,Agoraphobia,Claustrophobia,Aerophobia,Arachnophobia
Which planet is the second from the sun?,Venus,Mars,Mercury,Jupiter,Venus
What is the name of the organ that pumps blood around the body?,Heart,Liver,Lung,Kidney,Heart
Which sport is played on a court with a net and a shuttlecock?,Badminton,Tennis,Squash,Ping pong,Badminton
What is the name of the imaginary line that divides the Earth into Northern and Southern Hemispheres?,Equator,Tropic of Cancer,Tropic of Capricorn,Prime Meridian,Equator
Which musical instrument has black and white keys?,Piano,Guitar,Violin,Saxophone,Piano
What is the name of the process by which plants make their own food using sunlight?,Photosynthesis,Respiration,Fermentation,Osmosis,Photosynthesis
Which continent is the only one that covers all four hemispheres?,Africa,Antarctica,Australia,South America,Africa
Who was the first president of the United States?,George Washington,Abe Lincoln,Benjamin Franklin,Alexander Hamilton,George Washington
Which animal has stripes?,Zebra,Tiger,Lion,Cheetah,Zebra
What is the name of the device that measures temperature?,Thermometer,Barometer,Hygrometer,Pedometer,Thermometer
Which country is famous for its pyramids?,Egypt,Mexico,Greece,Iraq,Egypt
Who invented the telephone?,Alexander Graham Bell,Nikola Tesla,Guglielmo Marconi,Samuel Morse,Alexander Graham Bell
Which element has the symbol O on the periodic table?,Oxygen,Osmium,Oganesson,Oxide,Oxygen
Which ocean lies between Africa and Australia?,Indian Ocean,Pacific Ocean,Atlantic Ocean,Southern Ocean,Indian Ocean
Which country has a maple leaf on its flag?,Canada,Norway,Iceland,Turkey,Canada
What is 10 x 10 x 10 equal to?,1000,10000,1000000,1000000000,1000
Which animal can fly?,Bird,Bat,Pterodactyl,Dog,Bird
What is the name of the fairy tale character who has very long hair?,Rapunzel,Cinderella,Snow White,Ariel,Rapunzel
Which superhero can shoot webs from his wrists?,Spider-Man,Batman,Iron Man,Thor,Spider-Man
Which continent is Antarctica closest to?,South America,Africa,Australia,North America,South America
Which musical instrument has strings and is played with a bow?,Violin,Guitar,Harp,Piano,Violin
What is 5 + 5 x 5 equal to?,30,50,1000,-20,30
Which animal lives in water and has gills?,Fish,Frog,Crocodile,Duck,Fish
What is the name of the system that delivers oxygen to different parts of the body?,Circulatory system,Digestive system,Nervous system,Muscular system,Circulatory system
Which country is Berlin the capital of?,Germany,Russia,Netherlands,Belgium,Germany
Who discovered gravity when he saw a falling apple?,Isaac Newton,Galileo Galilei,Nicolaus Copernicus,Johannes Kepler,Isaac Newton
Which element has the symbol Au on the periodic table?,Gold,Silver,Copper,Iron,Gold
Which ocean lies between North America and Europe?,Atlantic Ocean,Pacific Ocean,Southern Ocean,Antarctic Ocean,Atlantic Ocean
Which country has a dragon on its flag?,Wales,Mongolia,Bhutan,Nepal,Wales
What is 9 x 9 equal to?,-81,0,-9,-18,81
Which animal has a long trunk and tusks?,Elephant,Rhinoceros,Walrus,Hippopotamus,Elephant
What is 10 - 5 equal to?,5,10,15,20,5
Which animal can change its color to blend in with its surroundings?,Chameleon,Octopus,Flamingo,Panda,Chameleon
What is 6 + 6 equal to?,12,24,36,48,12
Which animal has a pouch to carry its young?,Kangaroo,Penguin,Giraffe,Bear,Kangaroo
What is 8 / 4 equal to?,2,4,8,16,2
Which animal can live both on land and in water?,Turtle,Whale,Ostrich,Lion,Turtle
What is 7 x 7 equal to?,49,77,14,28,49